userId,movieId,rating,timestamp
9600,1580,5.0,938701287
9600,1584,3.0,938701443
9600,1586,3.0,938776619
9600,1588,4.0,943793655
9600,1590,1.0,938794010
9600,1592,1.0,943793795
9600,1597,2.0,938793982
9600,1608,3.0,938795106
9600,1610,3.0,938794549
9600,1611,2.0,938877573
9600,1614,4.0,938700864
9600,1615,4.0,938801379
9600,1617,5.0,938793853
9600,1619,2.0,938776386
9600,1620,2.0,938804700
9600,1639,4.0,938802270
9600,1641,5.0,943799010
9600,1645,2.0,938793900
9600,1653,4.0,938701365
9600,1663,4.0,938700864
9600,1673,5.0,938877370
9600,1674,5.0,938796847
9600,1676,4.0,938701581
9600,1678,4.0,943800446
9600,1682,5.0,938805140
9600,1683,4.0,938802743
9600,1689,1.0,943798876
9600,1690,2.0,938795754
9600,1693,2.0,938875583
9600,1694,5.0,938876043
9600,1701,3.0,938797608
9600,1704,4.0,938775772
9600,1719,5.0,938775718
9600,1721,5.0,938802270
9600,1722,1.0,943792608
9600,1727,3.0,938878312
9600,1729,4.0,938806302
9600,1732,3.0,938793937
9600,1760,2.0,943800232
9600,1769,2.0,943792694
9600,1772,3.0,938796652
9600,1777,3.0,938802658
9600,1784,4.0,938700932
9600,1792,1.0,938795848
9600,1805,3.0,938793900
9600,1810,5.0,938804972
9600,1821,2.0,943799194
9600,1831,1.0,938796260
9600,1834,5.0,938804700
9600,1835,1.0,938802743
9600,1836,4.0,938876308
9600,1858,2.0,943792661
9600,1873,3.0,938876811
9600,1882,1.0,938795754
9600,1883,4.0,943798540
9600,1885,4.0,938797557
9600,1892,3.0,938793900
9600,1907,3.0,938794369
9600,1909,3.0,938701443
9600,1911,3.0,943792141
9600,1912,5.0,938795564
9600,1914,4.0,938776011
9600,1917,1.0,938776858
9600,1918,1.0,943799384
9600,1920,1.0,943793517
9600,1921,4.0,938803587
9600,1923,4.0,938805482
9600,1924,1.0,938803551
9600,1925,3.0,938776619
9600,1927,5.0,943794023
9600,1931,4.0,938701140
9600,1935,3.0,938775718
9600,1941,3.0,938875637
9600,1944,5.0,938776386
9600,1945,5.0,938806335
9600,1947,3.0,938796462
9600,1952,5.0,943794588
9600,1954,4.0,938775819
9600,1955,4.0,938797435
9600,1956,5.0,938797167
9600,1957,5.0,938797089
9600,1958,4.0,938797000
9600,1959,3.0,938797215
9600,1960,5.0,938776386
9600,1961,3.0,938796847
9600,1962,3.0,938797047
9600,1963,4.0,938700931
9600,1965,5.0,938701443
9600,1966,5.0,938700727
9600,1967,3.0,938701139
9600,1968,4.0,938796941
9600,1994,3.0,938804529
9600,1997,3.0,943794747
9600,2000,3.0,938794783
9600,2001,3.0,938700864
9600,2002,2.0,943792637
9600,2006,3.0,938701065
9600,2011,2.0,943864485
